Deportista: deportista_697, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Argentina, intento 3  Peor marca: 7188.0 en Torneo de Bulgaria, intento 7
Deportista: deportista_216, Especialidad: carrera 21000 m,   Mejor marca: 3481810.0 en Torneo de Wales, intento 1  Peor marca: 3828454.0 en Torneo de Cyprus, intento 1
Deportista: deportista_22, Especialidad: carrera 100 m,   Mejor marca: 9761.0 en Torneo de Puerto Rico, intento 1  Peor marca: 10732.0 en Torneo de Monaco, intento 1
Deportista: deportista_153, Especialidad: carrera 800 m,   Mejor marca: 101954.0 en Torneo de Hungary, intento 1  Peor marca: 112078.0 en Torneo de South Africa, intento 1
Deportista: deportista_749, Especialidad: lanzamiento de martillo,   Mejor marca: 8986.0 en Torneo de San Marino, intento 1  Peor marca: 8175.0 en Torneo de Costa Rica, intento 5
Deportista: deportista_676, Especialidad: lanzamiento de bala,   Mejor marca: 2518.0 en Torneo de Zimbabwe, intento 10  Peor marca: 2291.0 en Torneo de Saudi Arabia, intento 6
Deportista: deportista_228, Especialidad: carrera 5000 m,   Mejor marca: 772274.0 en Torneo de Ukraine, intento 1  Peor marca: 849119.0 en Torneo de Algeria, intento 1
Deportista: deportista_417, Especialidad: carrera 400 m con vallas,   Mejor marca: 46118.0 en Torneo de Uruguay, intento 1  Peor marca: 50690.0 en Torneo de San Marino, intento 1
Deportista: deportista_255, Especialidad: carrera 10000 m,   Mejor marca: 1608532.0 en Torneo de Bahamas, intento 1  Peor marca: 1768260.0 en Torneo de Gabon, intento 1
Deportista: deportista_375, Especialidad: carrera 110 m con vallas,   Mejor marca: 12099.0 en Torneo de Micronesia, intento 1  Peor marca: 13307.0 en Torneo de Tunisia, intento 1
Deportista: deportista_441, Especialidad: carrera 400 m con vallas,   Mejor marca: 46103.0 en Torneo de Dominica, intento 1  Peor marca: 50685.0 en Torneo de Jamaica, intento 1
Deportista: deportista_748, Especialidad: lanzamiento de martillo,   Mejor marca: 8979.0 en Torneo de Senegal, intento 10  Peor marca: 8174.0 en Torneo de Ireland, intento 7
Deportista: deportista_730, Especialidad: lanzamiento de martillo,   Mejor marca: 8980.0 en Torneo de Uganda, intento 3  Peor marca: 8180.0 en Torneo de Burkina Faso, intento 6
Deportista: deportista_663, Especialidad: lanzamiento de bala,   Mejor marca: 2520.0 en Torneo de Turkey, intento 2  Peor marca: 2291.0 en Torneo de United States, intento 9
Deportista: deportista_144, Especialidad: carrera 800 m,   Mejor marca: 102076.0 en Torneo de Iran, intento 1  Peor marca: 112072.0 en Torneo de Costa Rica, intento 1
Deportista: deportista_75, Especialidad: carrera 200 m,   Mejor marca: 19515.0 en Torneo de Venezuela, intento 1  Peor marca: 21422.0 en Torneo de Jamaica, intento 1
Deportista: deportista_124, Especialidad: carrera 800 m,   Mejor marca: 101977.0 en Torneo de Canada, intento 1  Peor marca: 112036.0 en Torneo de Tajikistan, intento 1
Deportista: deportista_510, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Vanuatu, intento 10  Peor marca: 237.0 en Torneo de Bahamas, intento 8
Deportista: deportista_200, Especialidad: carrera 1500 m,   Mejor marca: 208821.0 en Torneo de Turkey, intento 1  Peor marca: 229632.0 en Torneo de Lithuania, intento 1
Deportista: deportista_798, Especialidad: lanzamiento de jabalina,   Mejor marca: 9967.0 en Torneo de Greece, intento 2  Peor marca: 9063.0 en Torneo de Nauru, intento 2
Deportista: deportista_702, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Norway, intento 4  Peor marca: 7187.0 en Torneo de Mexico, intento 1
Deportista: deportista_76, Especialidad: carrera 200 m,   Mejor marca: 19509.0 en Torneo de Monaco, intento 1  Peor marca: 21406.0 en Torneo de Congo Republic of the, intento 1
Deportista: deportista_212, Especialidad: carrera 10000 m,   Mejor marca: 1608242.0 en Torneo de Cambodia, intento 1  Peor marca: 1768340.0 en Torneo de Central African Republic, intento 1
Deportista: deportista_781, Especialidad: lanzamiento de jabalina,   Mejor marca: 9967.0 en Torneo de Italy, intento 2  Peor marca: 9064.0 en Torneo de Serbia, intento 1
Deportista: deportista_750, Especialidad: lanzamiento de martillo,   Mejor marca: 8988.0 en Torneo de Norway, intento 5  Peor marca: 8178.0 en Torneo de Saint Kitts and Nevis, intento 3
Deportista: deportista_615, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Indonesia, intento 8  Peor marca: 1814.0 en Torneo de Central African Republic, intento 10
Deportista: deportista_784, Especialidad: lanzamiento de jabalina,   Mejor marca: 9965.0 en Torneo de Tunisia, intento 4  Peor marca: 9063.0 en Torneo de North Korea, intento 8
Deportista: deportista_367, Especialidad: carrera 110 m con vallas,   Mejor marca: 12099.0 en Torneo de Kosovo, intento 1  Peor marca: 13307.0 en Torneo de South Korea, intento 1
Deportista: deportista_604, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Gabon, intento 10  Peor marca: 1814.0 en Torneo de France, intento 4
Deportista: deportista_726, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de Venezuela, intento 5  Peor marca: 8177.0 en Torneo de Togo, intento 4
Deportista: deportista_717, Especialidad: lanzamiento de disco,   Mejor marca: 7904.0 en Torneo de Liberia, intento 5  Peor marca: 7186.0 en Torneo de Sao Tome and Principe, intento 10
Deportista: deportista_14, Especialidad: carrera 200 m,   Mejor marca: 19515.0 en Torneo de United Arab Emirates, intento 1  Peor marca: 21450.0 en Torneo de Sweden, intento 1
Deportista: deportista_572, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Ukraine, intento 2  Peor marca: 869.0 en Torneo de Kazakhstan, intento 2
Deportista: deportista_208, Especialidad: carrera 5000 m,   Mejor marca: 772645.0 en Torneo de Estonia, intento 1  Peor marca: 849157.0 en Torneo de Lithuania, intento 1
Deportista: deportista_250, Especialidad: carrera 10000 m,   Mejor marca: 1608244.0 en Torneo de Guyana, intento 1  Peor marca: 1768606.0 en Torneo de Tanzania, intento 1
Deportista: deportista_641, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Nauru, intento 7  Peor marca: 1816.0 en Torneo de Czechia, intento 4
Deportista: deportista_370, Especialidad: carrera 110 m con vallas,   Mejor marca: 12098.0 en Torneo de Canada, intento 1  Peor marca: 13308.0 en Torneo de Belarus, intento 1
Deportista: deportista_392, Especialidad: carrera 110 m con vallas,   Mejor marca: 12100.0 en Torneo de Vietnam, intento 1  Peor marca: 13304.0 en Torneo de Palau, intento 1
Deportista: deportista_193, Especialidad: carrera 1500 m,   Mejor marca: 208782.0 en Torneo de San Marino, intento 1  Peor marca: 229647.0 en Torneo de Bhutan, intento 1
Deportista: deportista_234, Especialidad: carrera 5000 m,   Mejor marca: 772275.0 en Torneo de Cyprus, intento 1  Peor marca: 848796.0 en Torneo de Haiti, intento 1
Deportista: deportista_569, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de United Arab Emirates, intento 9  Peor marca: 869.0 en Torneo de Brunei, intento 4
Deportista: deportista_190, Especialidad: carrera 5000 m,   Mejor marca: 773042.0 en Torneo de Denmark, intento 1  Peor marca: 848705.0 en Torneo de Taiwan, intento 1
Deportista: deportista_704, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Peru, intento 3  Peor marca: 7194.0 en Torneo de Georgia, intento 3
Deportista: deportista_210, Especialidad: carrera 5000 m,   Mejor marca: 772709.0 en Torneo de Andorra, intento 1  Peor marca: 849023.0 en Torneo de Austria, intento 1
Deportista: deportista_146, Especialidad: carrera 800 m,   Mejor marca: 101892.0 en Torneo de Libya, intento 1  Peor marca: 112075.0 en Torneo de Serbia, intento 1
Deportista: deportista_313, Especialidad: carrera 21000 m,   Mejor marca: 3481121.0 en Torneo de Senegal, intento 1  Peor marca: 3825191.0 en Torneo de Netherlands, intento 1
Deportista: deportista_64, Especialidad: carrera 200 m,   Mejor marca: 19521.0 en Torneo de Finland, intento 1  Peor marca: 21448.0 en Torneo de Jamaica, intento 1
Deportista: deportista_197, Especialidad: carrera 1500 m,   Mejor marca: 209043.0 en Torneo de Bhutan, intento 1  Peor marca: 229635.0 en Torneo de Panama, intento 1
Deportista: deportista_54, Especialidad: carrera 110 m con vallas,   Mejor marca: 12102.0 en Torneo de Indonesia, intento 1  Peor marca: 13308.0 en Torneo de Panama, intento 1
Deportista: deportista_339, Especialidad: carrera 42000 m,   Mejor marca: 7303553.0 en Torneo de Germany, intento 1  Peor marca: 8031054.0 en Torneo de Chad, intento 1
Deportista: deportista_718, Especialidad: lanzamiento de disco,   Mejor marca: 7903.0 en Torneo de Guatemala, intento 2  Peor marca: 7186.0 en Torneo de Russia, intento 1
Deportista: deportista_734, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de Niger, intento 6  Peor marca: 8180.0 en Torneo de Kenya, intento 8
Deportista: deportista_593, Especialidad: salto largo,   Mejor marca: 955.0 en Torneo de Uruguay, intento 9  Peor marca: 869.0 en Torneo de Argentina, intento 8
Deportista: deportista_326, Especialidad: carrera 42000 m,   Mejor marca: 7313334.0 en Torneo de Mauritania, intento 1  Peor marca: 8030444.0 en Torneo de Laos, intento 1
Deportista: deportista_64, Especialidad: carrera 400 m,   Mejor marca: 43455.0 en Torneo de India, intento 1  Peor marca: 47793.0 en Torneo de Jamaica, intento 1
Deportista: deportista_279, Especialidad: carrera 10000 m,   Mejor marca: 1608079.0 en Torneo de Kosovo, intento 1  Peor marca: 1767550.0 en Torneo de Finland, intento 1
Deportista: deportista_472, Especialidad: carrera 3000 m con vallas,   Mejor marca: 482244.0 en Torneo de Solomon Islands, intento 1  Peor marca: 528970.0 en Torneo de Switzerland, intento 1
Deportista: deportista_55, Especialidad: carrera 200 m,   Mejor marca: 19501.0 en Torneo de Greece, intento 1  Peor marca: 21438.0 en Torneo de Netherlands, intento 1
Deportista: deportista_751, Especialidad: lanzamiento de martillo,   Mejor marca: 8990.0 en Torneo de Sudan, intento 4  Peor marca: 8175.0 en Torneo de Vanuatu, intento 1
Deportista: deportista_492, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Monaco, intento 1  Peor marca: 237.0 en Torneo de Australia, intento 1
Deportista: deportista_354, Especialidad: carrera 42000 m,   Mejor marca: 7303292.0 en Torneo de San Marino, intento 1  Peor marca: 8028537.0 en Torneo de North Korea, intento 1
Deportista: deportista_582, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Thailand, intento 9  Peor marca: 869.0 en Torneo de Marshall Islands, intento 6
Deportista: deportista_564, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Micronesia, intento 1  Peor marca: 869.0 en Torneo de Bhutan, intento 3
Deportista: deportista_187, Especialidad: carrera 1500 m,   Mejor marca: 208773.0 en Torneo de Madagascar, intento 1  Peor marca: 229598.0 en Torneo de Uganda, intento 1
Deportista: deportista_207, Especialidad: carrera 5000 m,   Mejor marca: 772110.0 en Torneo de Ecuador, intento 1  Peor marca: 849170.0 en Torneo de Fiji, intento 1
Deportista: deportista_16, Especialidad: carrera 100 m,   Mejor marca: 9766.0 en Torneo de Cyprus, intento 1  Peor marca: 10726.0 en Torneo de Morocco, intento 1
Deportista: deportista_321, Especialidad: carrera 42000 m,   Mejor marca: 7308210.0 en Torneo de Equatorial Guinea, intento 1  Peor marca: 8028981.0 en Torneo de Northern Ireland, intento 1
Deportista: deportista_32, Especialidad: carrera 100 m,   Mejor marca: 9762.0 en Torneo de Qatar, intento 1  Peor marca: 10736.0 en Torneo de United Arab Emirates, intento 1
Deportista: deportista_133, Especialidad: carrera 1500 m,   Mejor marca: 208843.0 en Torneo de Norway, intento 1  Peor marca: 229592.0 en Torneo de Brazil, intento 1
Deportista: deportista_747, Especialidad: lanzamiento de martillo,   Mejor marca: 8990.0 en Torneo de Mauritius, intento 7  Peor marca: 8177.0 en Torneo de Comoros, intento 8
Deportista: deportista_793, Especialidad: lanzamiento de jabalina,   Mejor marca: 9966.0 en Torneo de Liechtenstein, intento 8  Peor marca: 9061.0 en Torneo de Colombia, intento 5
Deportista: deportista_604, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Monaco, intento 7  Peor marca: 870.0 en Torneo de Bulgaria, intento 10
Deportista: deportista_178, Especialidad: carrera 1500 m,   Mejor marca: 208951.0 en Torneo de Armenia, intento 1  Peor marca: 229494.0 en Torneo de French Guiana, intento 1
Deportista: deportista_31, Especialidad: carrera 100 m,   Mejor marca: 9765.0 en Torneo de Greece, intento 1  Peor marca: 10730.0 en Torneo de Monaco, intento 1
Deportista: deportista_455, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481059.0 en Torneo de Venezuela, intento 1  Peor marca: 528903.0 en Torneo de Chile, intento 1
Deportista: deportista_643, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Malawi, intento 4  Peor marca: 1814.0 en Torneo de Turkey, intento 3
Deportista: deportista_720, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Ethiopia, intento 3  Peor marca: 7191.0 en Torneo de Benin, intento 9
Deportista: deportista_611, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Cuba, intento 4  Peor marca: 1814.0 en Torneo de Tuvalu, intento 3
Deportista: deportista_538, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Venezuela, intento 2  Peor marca: 606.0 en Torneo de Denmark, intento 1
Deportista: deportista_721, Especialidad: lanzamiento de disco,   Mejor marca: 7904.0 en Torneo de Mauritania, intento 3  Peor marca: 7197.0 en Torneo de Oman, intento 7
Deportista: deportista_683, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Scotland, intento 8  Peor marca: 2292.0 en Torneo de Bhutan, intento 6
Deportista: deportista_710, Especialidad: lanzamiento de disco,   Mejor marca: 7895.0 en Torneo de Belarus, intento 7  Peor marca: 7186.0 en Torneo de Ireland, intento 6
Deportista: deportista_6, Especialidad: carrera 100 m,   Mejor marca: 9769.0 en Torneo de Barbados, intento 1  Peor marca: 10731.0 en Torneo de Honduras, intento 1
Deportista: deportista_524, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Mexico, intento 2  Peor marca: 606.0 en Torneo de Barbados, intento 4
Deportista: deportista_91, Especialidad: carrera 400 m,   Mejor marca: 43463.0 en Torneo de Burkina Faso, intento 1  Peor marca: 47750.0 en Torneo de Equatorial Guinea, intento 1
Deportista: deportista_805, Especialidad: lanzamiento de jabalina,   Mejor marca: 9964.0 en Torneo de Northern Ireland, intento 3  Peor marca: 9068.0 en Torneo de Brazil, intento 4
Deportista: deportista_139, Especialidad: carrera 800 m,   Mejor marca: 101895.0 en Torneo de Yemen, intento 1  Peor marca: 112075.0 en Torneo de Colombia, intento 1
Deportista: deportista_116, Especialidad: carrera 400 m,   Mejor marca: 43470.0 en Torneo de Moldova, intento 1  Peor marca: 47765.0 en Torneo de Somalia, intento 1
Deportista: deportista_6, Especialidad: carrera 200 m,   Mejor marca: 19517.0 en Torneo de Kuwait, intento 1  Peor marca: 21438.0 en Torneo de Tonga, intento 1
Deportista: deportista_648, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Sri Lanka, intento 8  Peor marca: 2291.0 en Torneo de Ethiopia, intento 8
Deportista: deportista_503, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Uzbekistan, intento 10  Peor marca: 237.0 en Torneo de El Salvador, intento 2
Deportista: deportista_28, Especialidad: carrera 100 m,   Mejor marca: 9793.0 en Torneo de Syria, intento 1  Peor marca: 10722.0 en Torneo de Sri Lanka, intento 1
Deportista: deportista_379, Especialidad: carrera 110 m con vallas,   Mejor marca: 12099.0 en Torneo de Romania, intento 1  Peor marca: 13307.0 en Torneo de Papua New Guinea, intento 1
Deportista: deportista_43, Especialidad: carrera 200 m,   Mejor marca: 19501.0 en Torneo de Denmark, intento 1  Peor marca: 21423.0 en Torneo de Rwanda, intento 1
Deportista: deportista_588, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Sudan, intento 1  Peor marca: 869.0 en Torneo de Estonia, intento 3
Deportista: deportista_373, Especialidad: carrera 110 m con vallas,   Mejor marca: 12104.0 en Torneo de Tunisia, intento 1  Peor marca: 13305.0 en Torneo de Oman, intento 1
Deportista: deportista_278, Especialidad: carrera 21000 m,   Mejor marca: 3483721.0 en Torneo de Mauritania, intento 1  Peor marca: 3828808.0 en Torneo de Denmark, intento 1
Deportista: deportista_507, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Vanuatu, intento 2  Peor marca: 237.0 en Torneo de Bulgaria, intento 8
Deportista: deportista_239, Especialidad: carrera 5000 m,   Mejor marca: 772188.0 en Torneo de Angola, intento 1  Peor marca: 849057.0 en Torneo de South Korea, intento 1
Deportista: deportista_740, Especialidad: lanzamiento de martillo,   Mejor marca: 8975.0 en Torneo de Germany, intento 10  Peor marca: 8178.0 en Torneo de Montenegro, intento 2
Deportista: deportista_257, Especialidad: carrera 10000 m,   Mejor marca: 1608952.0 en Torneo de Saint Lucia, intento 1  Peor marca: 1768723.0 en Torneo de Moldova, intento 1
Deportista: deportista_319, Especialidad: carrera 21000 m,   Mejor marca: 3481005.0 en Torneo de Luxembourg, intento 1  Peor marca: 3823854.0 en Torneo de Serbia, intento 1
Deportista: deportista_132, Especialidad: carrera 800 m,   Mejor marca: 101921.0 en Torneo de Somalia, intento 1  Peor marca: 111973.0 en Torneo de Namibia, intento 1
Deportista: deportista_209, Especialidad: carrera 10000 m,   Mejor marca: 1609174.0 en Torneo de Thailand, intento 1  Peor marca: 1766586.0 en Torneo de South Africa, intento 1
Deportista: deportista_26, Especialidad: carrera 200 m,   Mejor marca: 19500.0 en Torneo de Jamaica, intento 1  Peor marca: 21444.0 en Torneo de Russia, intento 1
Deportista: deportista_627, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de Tanzania, intento 3  Peor marca: 1814.0 en Torneo de Puerto Rico, intento 2
Deportista: deportista_687, Especialidad: lanzamiento de disco,   Mejor marca: 7894.0 en Torneo de Ivory Coast, intento 10  Peor marca: 7188.0 en Torneo de Marshall Islands, intento 5
Deportista: deportista_653, Especialidad: lanzamiento de bala,   Mejor marca: 2520.0 en Torneo de Tonga, intento 9  Peor marca: 2291.0 en Torneo de Marshall Islands, intento 8
Deportista: deportista_383, Especialidad: carrera 110 m con vallas,   Mejor marca: 12105.0 en Torneo de Micronesia, intento 1  Peor marca: 13304.0 en Torneo de Timor-Leste, intento 1
Deportista: deportista_376, Especialidad: carrera 110 m con vallas,   Mejor marca: 12112.0 en Torneo de Vietnam, intento 1  Peor marca: 13302.0 en Torneo de Cabo Verde, intento 1
Deportista: deportista_489, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Uganda, intento 9  Peor marca: 237.0 en Torneo de Cameroon, intento 8
Deportista: deportista_328, Especialidad: carrera 42000 m,   Mejor marca: 7311781.0 en Torneo de Palau, intento 1  Peor marca: 8029944.0 en Torneo de Colombia, intento 1
Deportista: deportista_186, Especialidad: carrera 1500 m,   Mejor marca: 208792.0 en Torneo de Morocco, intento 1  Peor marca: 229566.0 en Torneo de Israel, intento 1
Deportista: deportista_760, Especialidad: lanzamiento de martillo,   Mejor marca: 8989.0 en Torneo de Brazil, intento 10  Peor marca: 8174.0 en Torneo de Sudan, intento 1
Deportista: deportista_696, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Uganda, intento 5  Peor marca: 7190.0 en Torneo de Vietnam, intento 4
Deportista: deportista_160, Especialidad: carrera 800 m,   Mejor marca: 101940.0 en Torneo de Vatican City, intento 1  Peor marca: 111974.0 en Torneo de Tunisia, intento 1
Deportista: deportista_123, Especialidad: carrera 400 m,   Mejor marca: 43484.0 en Torneo de Libya, intento 1  Peor marca: 47790.0 en Torneo de Colombia, intento 1
Deportista: deportista_652, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de United Arab Emirates, intento 1  Peor marca: 2292.0 en Torneo de Italy, intento 3
Deportista: deportista_597, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Albania, intento 8  Peor marca: 869.0 en Torneo de Latvia, intento 2
Deportista: deportista_568, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de United Arab Emirates, intento 9  Peor marca: 869.0 en Torneo de Bahrain, intento 1
Deportista: deportista_484, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Trinidad and Tobago, intento 6  Peor marca: 237.0 en Torneo de Bolivia, intento 1
Deportista: deportista_665, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Czechia, intento 4  Peor marca: 2291.0 en Torneo de Saint Lucia, intento 8
Deportista: deportista_612, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Suriname, intento 7  Peor marca: 1814.0 en Torneo de Kyrgyzstan, intento 4
Deportista: deportista_554, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Vietnam, intento 1  Peor marca: 606.0 en Torneo de Kosovo, intento 10
Deportista: deportista_518, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Zimbabwe, intento 6  Peor marca: 237.0 en Torneo de Australia, intento 10
Deportista: deportista_528, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Zambia, intento 8  Peor marca: 606.0 en Torneo de Djibouti, intento 5
Deportista: deportista_241, Especialidad: carrera 5000 m,   Mejor marca: 772231.0 en Torneo de Ghana, intento 1  Peor marca: 848797.0 en Torneo de Dominican Republic, intento 1
Deportista: deportista_591, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Tanzania, intento 10  Peor marca: 869.0 en Torneo de Togo, intento 1
Deportista: deportista_445, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481078.0 en Torneo de Mali, intento 1  Peor marca: 528818.0 en Torneo de Morocco, intento 1
Deportista: deportista_87, Especialidad: carrera 400 m,   Mejor marca: 43573.0 en Torneo de Brunei, intento 1  Peor marca: 47777.0 en Torneo de Cuba, intento 1
Deportista: deportista_342, Especialidad: carrera 42000 m,   Mejor marca: 7304941.0 en Torneo de Albania, intento 1  Peor marca: 8030474.0 en Torneo de Lithuania, intento 1
Deportista: deportista_364, Especialidad: carrera 110 m con vallas,   Mejor marca: 12101.0 en Torneo de Canada, intento 1  Peor marca: 13308.0 en Torneo de Vanuatu, intento 1
Deportista: deportista_803, Especialidad: lanzamiento de jabalina,   Mejor marca: 9963.0 en Torneo de Belize, intento 6  Peor marca: 9085.0 en Torneo de Andorra, intento 2
Deportista: deportista_660, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Zambia, intento 6  Peor marca: 2291.0 en Torneo de India, intento 5
Deportista: deportista_636, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de South Korea, intento 4  Peor marca: 1814.0 en Torneo de Niger, intento 8
Deportista: deportista_1, Especialidad: carrera 200 m,   Mejor marca: 19505.0 en Torneo de South Africa, intento 1  Peor marca: 21449.0 en Torneo de North Korea, intento 1
Deportista: deportista_66, Especialidad: carrera 200 m,   Mejor marca: 19514.0 en Torneo de Botswana, intento 1  Peor marca: 21444.0 en Torneo de Gambia, intento 1
Deportista: deportista_603, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Kyrgyzstan, intento 5  Peor marca: 869.0 en Torneo de Hungary, intento 1
Deportista: deportista_491, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de United States, intento 5  Peor marca: 237.0 en Torneo de Antigua and Barbuda, intento 7
Deportista: deportista_513, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Trinidad and Tobago, intento 3  Peor marca: 237.0 en Torneo de Algeria, intento 10
Deportista: deportista_575, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Romania, intento 9  Peor marca: 869.0 en Torneo de Armenia, intento 5
Deportista: deportista_8, Especialidad: carrera 100 m,   Mejor marca: 9760.0 en Torneo de Georgia, intento 1  Peor marca: 10735.0 en Torneo de Eritrea, intento 1
Deportista: deportista_682, Especialidad: lanzamiento de bala,   Mejor marca: 2518.0 en Torneo de Luxembourg, intento 6  Peor marca: 2293.0 en Torneo de Kiribati, intento 3
Deportista: deportista_667, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Sweden, intento 10  Peor marca: 2292.0 en Torneo de Kuwait, intento 6
Deportista: deportista_57, Especialidad: carrera 200 m,   Mejor marca: 19504.0 en Torneo de Guinea, intento 1  Peor marca: 21446.0 en Torneo de Marshall Islands, intento 1
Deportista: deportista_216, Especialidad: carrera 5000 m,   Mejor marca: 772725.0 en Torneo de Qatar, intento 1  Peor marca: 848818.0 en Torneo de United Kingdom, intento 1
Deportista: deportista_546, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Denmark, intento 4  Peor marca: 606.0 en Torneo de Czechia, intento 6
Deportista: deportista_534, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Trinidad and Tobago, intento 1  Peor marca: 606.0 en Torneo de Indonesia, intento 8
Deportista: deportista_143, Especialidad: carrera 800 m,   Mejor marca: 101945.0 en Torneo de Argentina, intento 1  Peor marca: 112066.0 en Torneo de Philippines, intento 1
Deportista: deportista_456, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481207.0 en Torneo de Ghana, intento 1  Peor marca: 529060.0 en Torneo de Vatican City, intento 1
Deportista: deportista_169, Especialidad: carrera 1500 m,   Mejor marca: 208778.0 en Torneo de Bosnia and Herzegovina, intento 1  Peor marca: 229448.0 en Torneo de Somalia, intento 1
Deportista: deportista_380, Especialidad: carrera 110 m con vallas,   Mejor marca: 12100.0 en Torneo de Luxembourg, intento 1  Peor marca: 13293.0 en Torneo de Nicaragua, intento 1
Deportista: deportista_586, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Maldives, intento 1  Peor marca: 869.0 en Torneo de Angola, intento 4
Deportista: deportista_349, Especialidad: carrera 42000 m,   Mejor marca: 7303850.0 en Torneo de Bahrain, intento 1  Peor marca: 8026049.0 en Torneo de Nigeria, intento 1
Deportista: deportista_127, Especialidad: carrera 1500 m,   Mejor marca: 208800.0 en Torneo de Benin, intento 1  Peor marca: 229619.0 en Torneo de Denmark, intento 1
Deportista: deportista_171, Especialidad: carrera 1500 m,   Mejor marca: 208888.0 en Torneo de Malta, intento 1  Peor marca: 229634.0 en Torneo de Austria, intento 1
Deportista: deportista_423, Especialidad: carrera 400 m con vallas,   Mejor marca: 46092.0 en Torneo de Sudan, intento 1  Peor marca: 50699.0 en Torneo de Jordan, intento 1
Deportista: deportista_469, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481479.0 en Torneo de Nepal, intento 1  Peor marca: 528814.0 en Torneo de Comoros, intento 1
Deportista: deportista_211, Especialidad: carrera 5000 m,   Mejor marca: 772143.0 en Torneo de Guyana, intento 1  Peor marca: 849211.0 en Torneo de Lebanon, intento 1
Deportista: deportista_14, Especialidad: carrera 100 m,   Mejor marca: 9763.0 en Torneo de Mali, intento 1  Peor marca: 10731.0 en Torneo de Equatorial Guinea, intento 1
Deportista: deportista_180, Especialidad: carrera 1500 m,   Mejor marca: 209025.0 en Torneo de Denmark, intento 1  Peor marca: 229584.0 en Torneo de Qatar, intento 1
Deportista: deportista_101, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Zimbabwe, intento 6  Peor marca: 2293.0 en Torneo de Sri Lanka, intento 1
Deportista: deportista_794, Especialidad: lanzamiento de jabalina,   Mejor marca: 9967.0 en Torneo de Chad, intento 9  Peor marca: 9063.0 en Torneo de Saint Vincent and the Grenadines, intento 3
Deportista: deportista_27, Especialidad: carrera 100 m,   Mejor marca: 9769.0 en Torneo de Scotland, intento 1  Peor marca: 10734.0 en Torneo de Luxembourg, intento 1
